,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(487, 240, 225, 270, (1, 1, 1))",-0.05467496879375358,-0.05357460152793636,842.668279873968,0.0,0.0,1400.2498743499782,-0.05292663812593325,0.16396568167604397,-0.050868999352981364
"(430, 260, 180, 315, (1, 1, 1))",-0.05320577594977304,0.0,-0.05340847122496211,4.700142022963972,0.0,-0.052718962464555846,-0.052749653705165045,0.0,5221.418209032883
"(367, 280, 135, 270, (1, 1, 1))",0.0,0.0,0.0,0.0,94.72190202868069,0.0,-0.05400207221226858,-0.052955446645149146,107.61800239608763
"(300, 300, 180, 225, (1, 1, 1))",-0.054207668196457004,-0.05345930783440242,-0.05236436686587013,-0.05428486226711186,0.0,-0.10039219120199536,-0.053793709996109995,0.0,0.0
"(170, 340, 135, 315, (1, 1, 1))",0.0,0.0,-0.05127126422151415,-0.052098798436382224,0.0,0.0,0.0,42.29828904061904,0.0
"(113, 360, 90, 0, (1, 1, 1))",20.99355132435266,-0.1405273866105463,0.0,-0.1738244603406193,-0.09694841601431184,-0.09829283773673148,999.9948096048595,850.9738398947213,8998.978310811885
"(65, 380, 90, 315, (1, 1, 1))",-0.05171764053223729,-0.051996889535386503,-0.052044183214221884,0.0,-0.0509405063078944,-0.051038599568046975,-0.052238002252787144,-0.05129158649797121,0.0
"(30, 400, 45, 270, (1, 1, 1))",-0.052453959073431436,7.765851667689356,-0.05330053048622513,0.0,0.0,0.0,0.0,-0.05144086297204296,-0.05123341780575818
"(8, 420, 0, 225, (1, 1, 1))",-0.05258290050947223,0.0,0.0,-0.05149208605107525,0.0,0.0,0.0,-0.05149208605107525,-0.052140982073849686
"(0, 440, 0, 180, (1, 1, 1))",0.0,0.0,0.0,0.0,8.043875029031595,0.0,0.0,0.0,-0.05141343267823865
"(8, 460, 45, 225, (1, 1, 1))",0.0,-0.05235042544630828,0.0,3438.9747658317565,0.0,0.0,0.0,0.0,0.0
"(30, 480, 0, 225, (1, 1, 1))",0.0,-0.05296815429735377,0.0,0.0,0.0,0.0,2710.0,-0.05098130759075206,0.0
"(65, 500, 315, 225, (1, 1, 1))",0.0,-0.05290960071194777,-0.053383371892671394,-0.051443689308167596,0.0,0.0,-0.05078864392500219,-0.051812279414983835,0.0
"(113, 520, 0, 225, (1, 1, 1))",0.0,0.0,-0.053022090997767425,0.0,0.0,0.0,-0.05133322200963765,-0.05091771747670198,0.0
"(170, 540, 315, 270, (1, 1, 1))",-0.05171620965996415,0.0,0.0,0.0,0.0,0.0,-0.05154447411994009,0.0,-0.053601466759874275
"(233, 560, 0, 315, (1, 1, 1))",-0.052554793129199875,-0.05341751672463335,0.0,-0.05276116331987532,-0.053811057722899326,0.0,-0.052554793129199875,0.0,-0.05452700466094426
"(300, 580, 315, 315, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 45, 45, (1, 1, 1))",-0.2540994576478214,81.81645571574646,67.61268849126282,31.126625627539948,-0.24372256477559234,34.26664376238822,0.08522642003636852,5176.224053431661,-0.29606974319634183
"(430, 60, 90, 90, (1, 1, 1))",-0.06049248021150011,0.0,-0.05640706202837627,-0.056285235740940236,-0.057101814386094255,-0.0573230492797778,-0.05640706202837627,-0.0573230492797778,0.0
"(487, 80, 135, 45, (1, 1, 1))",1121.4175171542133,-0.05662913001192066,-0.057403946446724065,0.0,0.0,0.0,0.0,-0.05610140203555031,0.0
"(535, 100, 90, 90, (1, 1, 1))",-0.056227889478204535,0.0,-0.10807683829379039,0.0,0.0,-0.05772988811387939,0.0,-0.05772988811387939,-0.057990332266412786
"(592, 140, 45, 135, (1, 1, 1))",-0.05597520737861337,-0.055899584281711934,-0.05521272685429771,-0.057036483741494004,-0.05697346993722793,0.0,0.0,-0.05777663073905675,0.0
"(600, 160, 0, 135, (1, 1, 1))",0.0,-0.0550475748929173,0.0,41.826968840735795,-0.05575627447262493,-0.0550475748929173,-0.05691951939638848,-0.056832051806961374,-0.056120766268692994
"(592, 180, 45, 180, (1, 1, 1))",-0.055493214872495825,-0.054770212349070396,103.48357800745529,-0.10748647499044336,-0.055848153397351254,-0.054770212349070396,-0.05735636773499522,-0.05672655717146507,-0.05568050496889365
"(570, 200, 0, 135, (1, 1, 1))",-0.0543665905336851,0.0,0.0,0.0,2875.2194619498323,0.0,-0.05632076085126441,0.0,0.0
"(535, 220, 45, 90, (1, 1, 1))",1335.1468421821837,-0.04073576249492806,34.08514811268205,-0.05534330885922672,-0.055843361993839075,6509.7124726513985,0.0,-0.05648723869402847,0.0
"(487, 240, 45, 45, (1, 1, 1))",12392.567823902906,2214.2185112718616,712.8555402597312,1.1087112724628758,-0.05480692078021154,-0.055281392571540605,-0.10104982018344547,-0.055281392571540605,-0.10624944363838267
"(430, 260, 45, 45, (1, 1, 1))",-0.052497878292844746,-0.05328806499904322,-0.05360872102345049,-0.05328806499904322,-0.05422031049582959,328.7947274592303,-0.05360872102345049,-0.0546615195596651,-0.05529688080645098
"(367, 280, 0, 90, (1, 1, 1))",-0.051610479147700894,-0.05196884154594949,-0.05209897860240249,-0.05273358111088532,575.1748740453888,-0.05273358111088529,-0.05360755377867547,-0.05400207221226862,-0.05384386302973185
"(300, 300, 315, 90, (1, 1, 1))",-0.05045709937867176,88.85256265933947,-0.05236436686587013,4593.681177449654,0.0,0.0,0.0,0.0,0.0
"(233, 320, 270, 45, (1, 1, 1))",0.0,-0.051111807216165754,-0.09923333222411082,3145.551048767875,2135.9475199925982,-0.051111807216165754,16553.825469832125,-0.051035321880738074,-0.050638501871107
"(170, 340, 225, 90, (1, 1, 1))",0.0,0.0,-0.05346736650554517,-0.05096836868825329,0.0,0.0,-0.05082173702809992,0.0,-0.052098798436382224
"(113, 360, 270, 135, (1, 1, 1))",-0.051791672806040016,-0.052903594031420934,-0.05370870161789304,0.0,-0.052158635035131885,-0.05316782273757488,0.0,0.0,0.0
"(65, 380, 225, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05284177594966935,0.0,-0.05129158649797121,0.0,-0.05330423649897004
"(30, 400, 270, 180, (1, 1, 1))",0.0,0.0,-0.0541992414254007,0.0,0.0,-0.05411952896062139,-0.05144086297204296,0.0,0.0
"(8, 420, 315, 135, (1, 1, 1))",-0.05149208605107525,0.0,0.0,0.0,-0.05149208605107525,0.0,0.0,0.0,0.0
"(0, 440, 270, 90, (1, 1, 1))",58.1803382635282,-0.05136341378479856,0.0,-0.052168019180631624,-0.05141343267823865,0.0,0.0,0.0,0.0
"(8, 460, 270, 45, (1, 1, 1))",89.9476495745537,2026.1236134568364,0.0,0.0,0.0,0.0,-0.053580419190025645,0.0,0.0
"(30, 480, 315, 0, (1, 1, 1))",0.0,0.0,0.0,-0.05388485704423074,0.0,-0.052718066002790775,-0.053543767529980725,-0.05353764495626363,0.0
"(65, 500, 315, 45, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.052805376130070386,0.0,-0.053650168484248854,-0.053278071496708705,0.0
"(113, 520, 0, 0, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05382985777560454,0.0,-0.05298255005284111,0.0,-0.05373843422039698
"(170, 540, 45, 315, (1, 1, 1))",-0.05264921541513861,-0.053601466759874275,0.0,0.0,0.0,0.0,-0.051368554767260745,-0.05247479042568365,-0.05343101911369186
"(233, 560, 90, 270, (1, 1, 1))",-0.05196537302448219,0.0,0.0,0.0,-0.05196537302448219,0.0,-0.051695596741587996,0.0,0.0
